EmployeeID,Age,Gender,Department,JobRole,Education,MaritalStatus,MonthlyIncome,YearsAtCompany,JobSatisfaction,WorkLifeBalance,OverTime,DistanceFromHome,Attrition
323,47,Male,Research & Development,Manager,College,Divorced,4257,7,2,2,No,25,No
324,35,Female,Research & Development,Senior Scientist,Doctor,Single,4817,14,4,1,No,29,No
325,57,Male,Sales,Sales Representative,Master,Divorced,5368,30,3,3,No,2,No
326,48,Female,Research & Development,Senior Scientist,College,Single,6175,14,4,1,No,9,No
327,56,Female,Research & Development,Research Scientist,College,Single,4497,27,1,3,No,29,Yes
328,20,Male,Sales,Manager,College,Married,10266,21,2,2,No,29,No
329,57,Male,Sales,Manager,Bachelor,Married,8626,10,3,1,No,18,No
330,49,Male,Research & Development,Laboratory Technician,Below College,Divorced,6108,2,2,3,No,1,No
331,30,Male,Research & Development,Research Scientist,Master,Divorced,8620,14,3,3,No,24,Yes
332,50,Female,Research & Development,Senior Scientist,Below College,Single,3418,21,2,1,No,3,No
333,23,Male,Research & Development,Laboratory Technician,Bachelor,Divorced,7337,10,1,2,No,6,Yes
334,48,Male,Human Resources,HR Executive,Doctor,Married,7290,2,1,3,Yes,15,Yes
335,28,Male,Research & Development,Manager,Doctor,Divorced,6022,34,2,2,Yes,24,No
336,32,Female,Research & Development,Senior Scientist,Bachelor,Married,6407,34,3,1,No,10,No
337,36,Male,Sales,Sales Executive,College,Married,7084,18,3,3,No,23,No
338,38,Female,Research & Development,Research Scientist,College,Married,3820,19,2,1,No,11,No
339,35,Female,Research & Development,Laboratory Technician,Bachelor,Single,5201,24,1,2,Yes,19,No
340,32,Female,Research & Development,Research Scientist,Master,Married,6883,21,2,3,No,14,Yes
341,32,Female,Sales,Sales Executive,Master,Married,7108,25,2,1,Yes,5,No
342,43,Male,Research & Development,Laboratory Technician,Master,Divorced,8294,21,4,1,No,17,No
343,24,Female,Research & Development,Senior Scientist,Doctor,Divorced,6083,22,4,3,Yes,19,Yes
344,48,Male,Research & Development,Manager,Below College,Divorced,7029,30,1,2,Yes,28,Yes
345,34,Female,Human Resources,HR Executive,College,Married,7734,33,2,3,Yes,2,No
346,49,Female,Sales,Sales Representative,Doctor,Divorced,2000,7,4,3,No,14,No
347,56,Female,Sales,Sales Representative,Below College,Single,8627,4,4,2,No,14,No
348,40,Male,Sales,Sales Representative,Below College,Divorced,10251,30,3,2,No,10,No
349,30,Male,Research & Development,Laboratory Technician,College,Divorced,6934,31,1,2,Yes,18,No
350,55,Male,Research & Development,Senior Scientist,Master,Divorced,3902,34,4,2,Yes,7,No
351,57,Male,Research & Development,Laboratory Technician,Doctor,Single,6607,12,1,2,No,22,Yes
352,30,Female,Research & Development,Research Scientist,Bachelor,Married,9861,27,1,2,No,3,Yes
353,49,Male,Research & Development,Laboratory Technician,Below College,Married,9544,2,4,3,No,27,No
354,42,Male,Research & Development,Laboratory Technician,Below College,Divorced,5217,20,2,3,No,4,Yes
355,37,Female,Research & Development,Laboratory Technician,Doctor,Single,6145,14,1,1,No,8,No
356,25,Female,Sales,Sales Representative,Bachelor,Married,3540,12,3,1,No,25,No
357,35,Male,Research & Development,Laboratory Technician,Below College,Married,9429,12,3,1,No,16,No
358,32,Male,Research & Development,Senior Scientist,Master,Married,5586,30,1,3,No,1,No
359,18,Female,Research & Development,Manager,Bachelor,Divorced,2617,14,4,1,No,25,No
360,29,Male,Sales,Sales Representative,Bachelor,Married,5746,10,3,3,No,1,No
361,57,Male,Research & Development,Research Scientist,College,Married,10334,34,3,3,No,21,No
362,56,Female,Research & Development,Manager,Bachelor,Single,6844,5,3,2,No,6,No
363,39,Female,Research & Development,Senior Scientist,Below College,Divorced,5099,31,1,1,No,28,No
364,57,Female,Research & Development,Manager,Bachelor,Single,2000,17,4,1,No,8,No
365,44,Male,Research & Development,Laboratory Technician,Master,Divorced,6713,23,2,2,No,26,No
366,20,Female,Sales,Manager,Doctor,Divorced,2000,26,4,1,Yes,12,No
367,51,Male,Sales,Manager,College,Divorced,3891,0,2,1,No,3,No
368,39,Male,Research & Development,Research Scientist,Doctor,Single,3842,14,2,2,Yes,15,No
369,22,Female,Sales,Sales Executive,Below College,Divorced,9659,3,3,2,Yes,3,No
370,57,Female,Research & Development,Manager,College,Single,4384,7,3,3,No,5,Yes
371,55,Male,Sales,Sales Executive,Doctor,Single,6976,29,3,3,Yes,27,No
372,45,Female,Research & Development,Research Scientist,Below College,Divorced,7165,30,2,1,Yes,2,Yes
373,39,Female,Sales,Sales Executive,Doctor,Divorced,3808,20,3,1,Yes,3,No
374,34,Male,Research & Development,Manager,College,Single,7053,16,2,1,No,13,No
375,25,Male,Sales,Manager,Doctor,Divorced,4713,34,4,2,No,26,No
376,22,Female,Research & Development,Laboratory Technician,Master,Married,8742,5,3,2,No,17,No
377,32,Male,Research & Development,Manager,Bachelor,Divorced,5033,18,4,3,No,16,Yes
378,34,Male,Research & Development,Research Scientist,Bachelor,Married,7060,0,3,1,No,14,No
379,21,Female,Sales,Sales Representative,Bachelor,Married,5404,31,1,2,No,22,No
380,26,Male,Human Resources,HR Executive,Doctor,Married,5154,7,3,3,No,29,No
381,55,Female,Research & Development,Laboratory Technician,College,Single,5278,33,3,2,Yes,5,Yes
382,21,Male,Research & Development,Research Scientist,College,Married,9872,14,4,2,No,5,No
383,20,Female,Sales,Manager,Bachelor,Divorced,10269,4,4,2,No,3,No
384,28,Male,Research & Development,Senior Scientist,Bachelor,Married,4769,2,1,3,No,18,Yes
385,27,Male,Research & Development,Manager,Doctor,Divorced,6238,22,2,1,Yes,13,No
386,31,Female,Research & Development,Laboratory Technician,Below College,Married,2000,29,3,3,Yes,14,Yes
387,52,Male,Research & Development,Laboratory Technician,Bachelor,Single,5565,1,4,1,No,22,Yes
388,35,Male,Research & Development,Manager,Doctor,Divorced,5231,25,4,2,No,11,No
389,21,Male,Sales,Sales Executive,College,Married,8878,7,3,3,No,14,No
390,34,Male,Sales,Sales Executive,Doctor,Single,3947,20,4,1,Yes,4,No
391,54,Female,Research & Development,Senior Scientist,College,Divorced,6472,28,3,3,No,14,No
392,54,Male,Sales,Sales Executive,Master,Single,4856,19,1,2,No,2,No
393,53,Female,Research & Development,Research Scientist,Doctor,Divorced,4135,28,4,2,No,15,No
394,55,Female,Sales,Manager,Master,Divorced,8020,14,1,1,No,18,No
395,28,Male,Sales,Sales Representative,College,Single,7114,3,3,2,No,3,No
396,48,Male,Research & Development,Manager,College,Divorced,2000,9,2,2,No,17,No
397,48,Male,Research & Development,Manager,Below College,Divorced,10173,25,3,2,Yes,17,No
398,45,Male,Human Resources,HR Executive,College,Divorced,7238,1,2,3,Yes,8,Yes
399,29,Male,Human Resources,HR Executive,College,Divorced,10668,15,2,2,No,6,Yes
400,59,Female,Sales,Sales Representative,Below College,Single,10308,15,1,2,Yes,18,Yes
401,49,Female,Research & Development,Laboratory Technician,Below College,Married,4000,25,1,2,Yes,2,No
402,18,Male,Research & Development,Laboratory Technician,Master,Married,5907,26,2,3,No,2,Yes
403,37,Male,Research & Development,Senior Scientist,Doctor,Married,9540,23,2,2,No,12,Yes
404,53,Female,Research & Development,Research Scientist,Doctor,Single,6917,31,1,1,No,18,No
405,33,Male,Sales,Sales Executive,Doctor,Single,9531,30,2,2,No,17,No
406,49,Male,Research & Development,Manager,Master,Single,10837,33,1,1,No,23,No
407,50,Male,Research & Development,Manager,Bachelor,Single,3619,22,4,1,No,3,No
408,42,Male,Research & Development,Manager,College,Single,6945,4,4,3,Yes,23,No
409,56,Male,Sales,Manager,Bachelor,Single,6274,0,1,2,No,6,No
410,20,Female,Research & Development,Research Scientist,Bachelor,Single,8943,26,4,1,Yes,7,No
411,44,Male,Research & Development,Laboratory Technician,Bachelor,Single,9311,27,4,3,No,22,No
412,43,Female,Sales,Sales Representative,Bachelor,Married,8325,22,3,1,No,20,No
413,29,Male,Research & Development,Manager,Bachelor,Married,7450,33,3,3,No,14,No
414,18,Male,Research & Development,Senior Scientist,Bachelor,Married,6050,6,3,3,No,25,No
415,54,Female,Research & Development,Senior Scientist,Doctor,Single,8067,6,2,2,No,22,No
416,45,Male,Research & Development,Laboratory Technician,Below College,Married,6966,24,2,1,No,4,Yes
417,20,Female,Sales,Sales Executive,Master,Single,6159,24,3,2,No,15,No
418,55,Female,Research & Development,Laboratory Technician,Below College,Married,9150,6,2,1,No,9,Yes
419,55,Male,Sales,Sales Executive,Master,Single,5800,33,4,1,No,22,Yes
420,26,Male,Research & Development,Laboratory Technician,Bachelor,Single,4088,23,3,2,No,11,No
421,45,Female,Research & Development,Laboratory Technician,Doctor,Divorced,5945,3,1,1,No,14,No
422,47,Female,Research & Development,Senior Scientist,Bachelor,Married,3626,11,2,2,No,7,No
423,40,Female,Research & Development,Laboratory Technician,Doctor,Married,7589,30,2,1,Yes,10,No
424,47,Male,Research & Development,Laboratory Technician,Below College,Married,2000,20,4,3,Yes,11,Yes
425,56,Male,Research & Development,Senior Scientist,Master,Married,5948,17,4,2,Yes,1,No
426,21,Male,Sales,Manager,College,Single,5838,33,1,2,Yes,6,No
427,33,Male,Research & Development,Research Scientist,Master,Divorced,9257,21,4,1,No,10,No
428,56,Female,Research & Development,Manager,Doctor,Divorced,11338,2,3,2,Yes,15,No
429,30,Male,Research & Development,Laboratory Technician,Bachelor,Divorced,9221,19,3,3,Yes,13,No
430,26,Female,Research & Development,Manager,Doctor,Single,5559,6,3,3,Yes,9,No
431,18,Female,Research & Development,Senior Scientist,Bachelor,Married,2000,11,1,1,No,14,No
432,40,Male,Sales,Sales Executive,Doctor,Divorced,2000,24,2,2,No,14,Yes
433,45,Male,Research & Development,Manager,Bachelor,Divorced,10953,27,1,2,No,16,No
434,41,Female,Research & Development,Senior Scientist,Doctor,Single,3986,4,1,2,No,18,No
435,29,Male,Research & Development,Laboratory Technician,Doctor,Married,10166,18,3,3,Yes,14,No
436,58,Male,Research & Development,Senior Scientist,Bachelor,Divorced,9676,21,3,2,Yes,12,No
437,50,Male,Research & Development,Manager,Master,Divorced,5123,12,2,3,No,22,Yes
438,25,Female,Research & Development,Senior Scientist,Doctor,Married,11694,20,1,1,Yes,23,Yes
439,40,Female,Research & Development,Manager,Doctor,Divorced,3386,20,1,3,No,13,No
440,57,Male,Sales,Manager,College,Divorced,4675,19,3,2,No,21,No
441,57,Female,Research & Development,Laboratory Technician,Doctor,Single,2000,27,1,1,Yes,26,Yes
442,55,Female,Research & Development,Research Scientist,Doctor,Divorced,4986,13,2,3,Yes,3,Yes
443,41,Male,Sales,Sales Executive,Bachelor,Married,3140,33,1,2,No,23,No
444,26,Male,Research & Development,Manager,College,Divorced,8626,32,2,3,No,25,No
445,23,Female,Research & Development,Laboratory Technician,Below College,Divorced,2777,23,4,1,No,15,No
446,26,Female,Research & Development,Research Scientist,Master,Single,6735,15,3,3,No,5,No
447,19,Male,Research & Development,Laboratory Technician,Doctor,Married,4415,7,3,3,Yes,9,Yes
448,59,Male,Sales,Sales Executive,Master,Single,8186,11,1,2,No,9,No
449,40,Male,Research & Development,Senior Scientist,Doctor,Divorced,2649,4,3,3,No,18,No
450,19,Male,Sales,Sales Executive,Doctor,Married,3015,27,2,3,No,26,Yes
451,36,Female,Sales,Sales Executive,Bachelor,Divorced,8553,23,1,3,No,23,No
452,55,Female,Sales,Manager,Bachelor,Single,6614,24,4,3,Yes,19,Yes
453,36,Female,Research & Development,Senior Scientist,Below College,Divorced,4748,5,4,2,No,29,No
454,41,Male,Sales,Sales Representative,College,Divorced,8706,33,4,3,Yes,29,Yes
455,56,Female,Human Resources,HR Executive,Bachelor,Divorced,6144,6,1,1,No,8,No
456,20,Female,Sales,Manager,Doctor,Divorced,7346,26,1,3,Yes,7,No
457,59,Male,Sales,Manager,Below College,Married,10153,16,3,1,No,3,No
458,48,Male,Sales,Sales Representative,Below College,Divorced,2000,17,2,2,No,15,Yes
459,53,Male,Research & Development,Laboratory Technician,Bachelor,Married,6149,23,4,1,Yes,20,No
460,32,Female,Human Resources,Manager,Below College,Single,7269,33,2,2,No,23,No
461,31,Female,Research & Development,Laboratory Technician,Bachelor,Married,2000,24,4,2,No,21,No
462,33,Female,Research & Development,Research Scientist,College,Single,3007,16,4,2,Yes,4,No
463,34,Male,Research & Development,Laboratory Technician,Below College,Single,9284,8,1,2,Yes,9,No
464,39,Female,Research & Development,Laboratory Technician,Doctor,Married,2000,32,2,3,No,1,No
465,35,Male,Research & Development,Research Scientist,Bachelor,Divorced,10138,5,2,2,Yes,10,Yes
466,35,Female,Research & Development,Senior Scientist,Doctor,Single,8518,16,3,2,No,19,Yes
467,20,Male,Research & Development,Senior Scientist,College,Married,2251,0,4,2,No,18,Yes
468,26,Male,Research & Development,Laboratory Technician,Master,Married,7702,5,4,3,Yes,1,No
469,24,Male,Sales,Manager,Below College,Divorced,4955,28,2,3,No,29,No
470,48,Female,Research & Development,Research Scientist,College,Divorced,3382,16,2,2,No,15,No
471,36,Male,Sales,Manager,Master,Married,6952,0,3,1,Yes,21,Yes
472,57,Female,Research & Development,Laboratory Technician,Master,Single,9758,9,4,3,Yes,27,No
473,32,Female,Sales,Manager,Doctor,Married,3456,18,2,2,Yes,17,No
474,58,Female,Research & Development,Senior Scientist,Below College,Married,6898,5,3,2,Yes,1,Yes
475,32,Female,Sales,Manager,Bachelor,Married,8753,26,1,1,Yes,23,No
476,33,Female,Research & Development,Laboratory Technician,Doctor,Married,9150,34,3,3,Yes,2,No
477,20,Female,Research & Development,Manager,College,Divorced,5993,13,4,2,No,7,No
478,34,Male,Research & Development,Research Scientist,College,Divorced,5179,11,4,1,No,27,No
479,19,Male,Sales,Manager,Master,Married,5680,22,4,2,Yes,26,Yes
480,55,Male,Sales,Sales Executive,Doctor,Married,8502,32,1,1,No,25,Yes
481,34,Male,Research & Development,Senior Scientist,Doctor,Married,7298,28,4,2,No,18,No
482,35,Male,Research & Development,Research Scientist,Below College,Married,10634,28,3,2,No,24,No
483,30,Male,Research & Development,Research Scientist,Bachelor,Divorced,7520,25,4,2,No,26,No
484,20,Female,Research & Development,Senior Scientist,Below College,Married,5723,18,1,1,No,24,Yes
485,43,Male,Research & Development,Manager,Master,Single,2340,15,4,1,No,1,Yes
486,33,Female,Research & Development,Senior Scientist,Doctor,Divorced,9122,27,2,3,No,11,Yes
487,43,Male,Research & Development,Research Scientist,Doctor,Divorced,6692,25,3,2,No,17,No
488,31,Female,Research & Development,Research Scientist,College,Married,4081,20,4,2,Yes,23,Yes
489,19,Female,Research & Development,Laboratory Technician,Master,Divorced,6468,1,4,2,No,2,No
490,53,Female,Research & Development,Research Scientist,College,Divorced,8306,29,1,3,Yes,16,No
491,54,Female,Sales,Sales Executive,Bachelor,Single,5800,4,3,1,No,15,Yes
492,38,Female,Sales,Sales Representative,Doctor,Single,3302,10,2,2,No,3,No
493,29,Female,Sales,Sales Representative,Master,Divorced,4979,30,3,1,No,4,Yes
494,39,Male,Research & Development,Research Scientist,Master,Married,7407,4,3,2,Yes,10,No
495,28,Male,Sales,Manager,Below College,Divorced,5138,10,4,1,No,21,No
496,59,Female,Sales,Sales Executive,Doctor,Married,2787,20,2,1,Yes,7,No
497,18,Female,Research & Development,Research Scientist,Doctor,Married,7992,5,1,3,No,24,No
498,23,Male,Research & Development,Research Scientist,Below College,Married,5919,23,1,3,No,28,Yes
499,59,Male,Research & Development,Senior Scientist,College,Married,5458,25,1,3,No,25,Yes
500,48,Female,Research & Development,Research Scientist,Below College,Single,9299,1,2,3,No,2,No
501,35,Female,Research & Development,Research Scientist,Doctor,Married,4547,10,2,2,No,1,No
502,59,Male,Research & Development,Senior Scientist,College,Single,5850,29,3,2,No,22,Yes
503,25,Female,Sales,Sales Representative,Below College,Single,3840,11,2,3,No,18,No
504,54,Male,Research & Development,Laboratory Technician,College,Married,4763,23,4,3,No,28,No
505,22,Male,Sales,Sales Executive,College,Single,4210,14,2,3,No,28,No
506,53,Male,Research & Development,Senior Scientist,Below College,Divorced,3653,25,1,1,No,21,No
507,56,Female,Sales,Manager,Doctor,Divorced,6157,3,4,3,Yes,25,Yes
508,50,Female,Research & Development,Senior Scientist,Below College,Single,7478,27,4,3,Yes,14,Yes
509,31,Male,Research & Development,Research Scientist,College,Married,4221,7,1,3,Yes,25,Yes
510,36,Female,Research & Development,Research Scientist,Bachelor,Married,3453,11,2,3,No,8,No
511,53,Male,Research & Development,Laboratory Technician,Bachelor,Single,5999,34,2,3,No,2,No
512,32,Female,Research & Development,Research Scientist,College,Single,7079,33,2,1,Yes,26,Yes
513,52,Female,Human Resources,Manager,College,Married,7269,22,2,1,No,4,No
514,48,Male,Sales,Manager,Bachelor,Divorced,3761,33,3,1,No,16,No
515,21,Female,Research & Development,Manager,Master,Married,4585,20,4,3,No,26,No
516,40,Female,Research & Development,Manager,Doctor,Single,6413,14,1,2,No,19,No
517,53,Female,Sales,Sales Representative,Master,Divorced,2642,3,3,2,No,23,No
518,56,Male,Research & Development,Research Scientist,College,Married,6098,9,2,3,No,19,No
519,56,Female,Sales,Sales Executive,Doctor,Married,5303,30,4,1,No,11,Yes
520,30,Female,Research & Development,Research Scientist,Below College,Married,7398,28,3,1,No,12,No
521,24,Female,Research & Development,Research Scientist,Bachelor,Single,8931,4,4,1,No,6,No
522,18,Male,Research & Development,Research Scientist,Bachelor,Married,6794,20,3,1,No,25,No
523,37,Female,Research & Development,Manager,Master,Single,6295,22,2,3,Yes,17,No
524,36,Male,Sales,Sales Representative,College,Married,9227,19,1,1,Yes,2,Yes
525,22,Male,Research & Development,Research Scientist,College,Single,6309,23,2,1,No,25,No
526,41,Male,Sales,Sales Representative,Bachelor,Divorced,6131,16,1,3,Yes,9,No
527,52,Female,Research & Development,Research Scientist,Bachelor,Divorced,9659,20,1,1,No,15,Yes
528,39,Female,Sales,Manager,Bachelor,Married,4008,28,2,2,No,2,No
529,26,Male,Sales,Sales Representative,Below College,Married,7143,17,1,2,No,4,No
530,29,Female,Research & Development,Senior Scientist,Bachelor,Married,4073,21,3,3,Yes,29,Yes
531,18,Male,Sales,Sales Executive,Below College,Divorced,2000,11,3,2,No,15,No
532,24,Female,Human Resources,Manager,Below College,Divorced,6246,33,2,2,No,26,No
533,31,Female,Research & Development,Manager,College,Single,2789,21,2,2,Yes,29,Yes
534,30,Female,Research & Development,Manager,College,Married,5978,23,1,2,No,10,Yes
535,41,Female,Research & Development,Research Scientist,Master,Divorced,2916,34,3,1,No,4,No
536,34,Female,Sales,Sales Representative,Below College,Divorced,2000,16,1,2,Yes,20,Yes
537,43,Female,Sales,Manager,Bachelor,Divorced,7151,11,4,1,No,7,Yes
538,29,Male,Sales,Sales Executive,College,Single,7246,15,4,1,Yes,24,Yes
539,27,Female,Research & Development,Manager,Master,Married,5402,6,1,2,No,20,No
540,29,Male,Sales,Sales Executive,Below College,Single,6371,10,2,1,No,14,No
541,37,Male,Research & Development,Laboratory Technician,Master,Single,7191,32,2,2,No,7,No
542,47,Male,Sales,Sales Executive,College,Divorced,9488,17,3,1,Yes,6,Yes
543,30,Male,Research & Development,Laboratory Technician,Bachelor,Single,8721,19,4,1,Yes,26,No
544,59,Male,Sales,Manager,Doctor,Divorced,7402,4,3,2,No,26,No
545,46,Female,Research & Development,Senior Scientist,Doctor,Married,4248,10,1,2,No,27,Yes
546,19,Male,Research & Development,Laboratory Technician,Master,Divorced,4089,17,3,1,No,3,No
547,55,Female,Human Resources,HR Executive,Bachelor,Divorced,9204,9,1,1,No,28,No
548,29,Female,Research & Development,Laboratory Technician,Doctor,Single,5359,5,4,1,No,5,No
549,43,Female,Research & Development,Research Scientist,Master,Married,4596,15,1,1,Yes,15,No
550,38,Female,Research & Development,Manager,Bachelor,Married,5563,25,2,2,No,14,No
551,24,Female,Research & Development,Research Scientist,Doctor,Divorced,5917,19,4,2,No,18,No
552,47,Female,Research & Development,Manager,College,Single,6660,15,4,1,Yes,22,No
553,33,Female,Research & Development,Research Scientist,Master,Married,2048,26,4,1,Yes,19,Yes
554,40,Male,Research & Development,Senior Scientist,Doctor,Married,7352,6,2,1,Yes,14,Yes
555,18,Male,Research & Development,Manager,College,Married,7307,5,1,2,Yes,18,No
556,37,Male,Sales,Sales Executive,Master,Single,9709,0,1,3,No,20,No
557,28,Female,Sales,Manager,Master,Single,7551,27,4,3,No,22,No
558,28,Male,Research & Development,Laboratory Technician,College,Divorced,5055,3,3,1,No,10,Yes
559,59,Female,Human Resources,HR Executive,Bachelor,Divorced,5964,25,1,1,No,2,No
560,53,Female,Sales,Sales Representative,Master,Single,7448,0,4,3,No,22,No
561,36,Male,Research & Development,Senior Scientist,Doctor,Divorced,7370,3,4,1,Yes,16,No
562,53,Female,Research & Development,Research Scientist,Master,Divorced,4255,28,2,2,No,16,No
563,31,Male,Sales,Manager,Doctor,Married,9226,32,3,2,No,15,No
564,36,Male,Sales,Sales Executive,Doctor,Married,9499,15,4,1,No,23,Yes
565,59,Female,Research & Development,Laboratory Technician,College,Divorced,6830,8,1,1,No,18,Yes
566,31,Male,Research & Development,Research Scientist,College,Single,6213,14,1,2,No,17,No
567,20,Male,Sales,Sales Representative,College,Married,8547,19,2,1,No,13,Yes
568,54,Female,Research & Development,Senior Scientist,Master,Married,6894,4,2,1,No,9,Yes
569,47,Female,Research & Development,Manager,Master,Single,5377,29,1,2,No,3,No
570,56,Female,Research & Development,Research Scientist,Bachelor,Divorced,9413,22,1,2,Yes,9,No
571,19,Female,Research & Development,Manager,College,Single,6029,9,4,3,No,2,No
572,20,Male,Sales,Sales Representative,Bachelor,Married,9482,23,1,2,No,26,No
573,19,Male,Research & Development,Senior Scientist,College,Married,7452,21,1,3,No,11,No
574,51,Male,Research & Development,Senior Scientist,Below College,Divorced,3902,19,4,1,No,11,No
575,44,Female,Sales,Manager,College,Divorced,9365,28,3,1,Yes,5,No
576,24,Female,Sales,Manager,Master,Single,2000,27,1,1,No,5,Yes
577,40,Male,Research & Development,Research Scientist,Bachelor,Married,7808,15,1,3,No,16,No
578,23,Female,Research & Development,Research Scientist,College,Married,3449,23,2,3,No,28,Yes
579,23,Female,Research & Development,Research Scientist,College,Divorced,6956,22,4,3,Yes,25,No
580,26,Male,Research & Development,Research Scientist,Master,Married,7947,24,1,2,No,2,Yes
581,23,Male,Research & Development,Laboratory Technician,Below College,Divorced,7700,10,1,2,No,1,No
582,29,Male,Research & Development,Laboratory Technician,Below College,Married,3862,15,4,3,No,11,No
583,32,Female,Sales,Manager,College,Single,6293,1,4,3,No,19,No
584,31,Female,Human Resources,Manager,Below College,Single,7107,2,2,2,No,6,No
585,44,Female,Research & Development,Research Scientist,Bachelor,Married,5121,27,1,1,No,8,No
586,29,Female,Sales,Manager,Doctor,Single,6560,20,3,1,Yes,17,No
587,47,Female,Human Resources,HR Executive,Doctor,Divorced,8307,20,2,1,No,21,No
588,37,Female,Research & Development,Laboratory Technician,Below College,Married,6779,31,2,2,No,3,No
589,36,Female,Sales,Sales Executive,Below College,Single,6555,4,2,2,Yes,25,No
590,37,Male,Research & Development,Research Scientist,Doctor,Married,7891,32,4,2,No,16,Yes
591,59,Male,Research & Development,Research Scientist,Below College,Married,6786,8,4,2,Yes,18,No
592,32,Female,Research & Development,Laboratory Technician,Below College,Divorced,6951,4,2,1,No,18,Yes
593,22,Female,Research & Development,Laboratory Technician,Bachelor,Married,9073,13,3,1,Yes,21,No
594,31,Male,Research & Development,Research Scientist,Master,Married,8491,18,1,3,No,18,No
595,57,Female,Research & Development,Manager,Below College,Single,6830,18,3,2,No,5,No
596,27,Female,Research & Development,Laboratory Technician,Doctor,Divorced,7136,26,4,2,Yes,17,Yes
597,33,Female,Research & Development,Laboratory Technician,Master,Divorced,7767,16,4,1,No,27,No
598,55,Male,Sales,Sales Executive,Master,Married,6356,32,3,1,No,13,No
599,31,Female,Sales,Sales Representative,College,Divorced,8069,31,1,2,No,26,Yes
600,44,Male,Research & Development,Laboratory Technician,Bachelor,Married,5801,17,1,2,No,3,No
601,39,Male,Sales,Sales Representative,Doctor,Divorced,9245,29,3,3,Yes,11,No
602,43,Female,Research & Development,Laboratory Technician,College,Divorced,5550,3,2,2,Yes,27,No
603,19,Male,Research & Development,Senior Scientist,Doctor,Divorced,5095,13,2,2,No,3,Yes
604,56,Female,Research & Development,Manager,Master,Divorced,7698,24,1,2,No,19,No
605,49,Female,Research & Development,Senior Scientist,Doctor,Single,6310,8,1,3,No,21,Yes
606,34,Male,Sales,Manager,College,Married,2288,21,2,3,No,12,Yes
607,46,Male,Research & Development,Manager,Master,Married,4796,5,3,2,Yes,24,No
608,32,Male,Research & Development,Manager,Below College,Married,8919,11,1,3,Yes,28,Yes
609,39,Female,Research & Development,Manager,Bachelor,Single,6424,13,2,2,No,21,No
610,50,Male,Research & Development,Research Scientist,College,Married,8485,7,3,3,No,25,No
611,45,Male,Research & Development,Senior Scientist,Master,Divorced,4259,3,2,2,No,25,No
612,48,Male,Research & Development,Manager,College,Married,7258,19,3,3,No,23,No
613,51,Female,Research & Development,Laboratory Technician,Bachelor,Married,2000,24,4,2,Yes,19,No
614,57,Female,Sales,Manager,Master,Divorced,6522,18,3,1,No,14,No
615,39,Male,Sales,Sales Representative,Doctor,Single,8787,11,2,2,Yes,8,No
616,26,Male,Research & Development,Laboratory Technician,College,Single,6284,32,2,2,No,8,No
617,23,Female,Research & Development,Manager,Doctor,Divorced,4675,32,2,1,Yes,8,No
618,40,Male,Research & Development,Senior Scientist,College,Divorced,6537,14,1,2,No,25,No
619,41,Female,Research & Development,Laboratory Technician,Bachelor,Divorced,10321,7,2,1,No,8,No
620,34,Male,Research & Development,Manager,Master,Married,6297,15,1,1,No,17,No
621,22,Female,Research & Development,Research Scientist,Bachelor,Single,4892,7,2,1,No,3,No
622,42,Male,Research & Development,Research Scientist,Master,Divorced,5968,25,2,3,Yes,1,Yes
623,29,Female,Research & Development,Laboratory Technician,Bachelor,Single,9310,22,4,3,Yes,11,No
624,56,Female,Sales,Manager,Bachelor,Divorced,10070,25,4,1,No,13,No
625,41,Female,Sales,Sales Executive,Below College,Married,2000,27,4,3,No,8,No
626,54,Male,Research & Development,Senior Scientist,Bachelor,Single,2310,12,3,1,No,5,No
627,30,Female,Research & Development,Research Scientist,Bachelor,Single,8480,6,2,3,No,7,No
628,25,Male,Research & Development,Laboratory Technician,Master,Divorced,7235,32,2,1,No,16,No
629,40,Female,Research & Development,Senior Scientist,College,Single,8322,28,2,1,No,24,Yes
630,46,Male,Research & Development,Research Scientist,Master,Married,7377,30,4,3,No,9,No
631,42,Male,Research & Development,Senior Scientist,College,Divorced,7266,34,2,2,No,25,Yes
632,42,Female,Research & Development,Senior Scientist,College,Married,6508,30,3,2,No,12,Yes
633,22,Male,Research & Development,Senior Scientist,Below College,Married,6711,21,4,3,No,14,No
634,57,Male,Research & Development,Manager,Bachelor,Married,3826,33,2,3,Yes,22,Yes
635,42,Male,Research & Development,Manager,Bachelor,Divorced,6212,29,1,3,Yes,20,No
636,53,Male,Research & Development,Manager,College,Divorced,5635,5,3,1,No,2,No
637,29,Male,Research & Development,Senior Scientist,Bachelor,Divorced,12347,18,3,2,Yes,16,No
638,29,Male,Research & Development,Manager,College,Divorced,5664,0,1,1,Yes,24,Yes
639,34,Male,Sales,Sales Representative,Below College,Divorced,5815,11,3,3,No,28,No
640,54,Male,Research & Development,Laboratory Technician,Below College,Married,6464,6,3,3,No,13,No
641,28,Female,Sales,Sales Executive,Master,Divorced,7928,12,1,1,No,28,No
642,54,Female,Research & Development,Research Scientist,Below College,Married,6412,10,4,2,Yes,7,No
643,46,Male,Research & Development,Manager,College,Divorced,7301,27,2,3,No,1,No
644,27,Female,Research & Development,Laboratory Technician,Bachelor,Single,6710,0,1,1,No,20,Yes
645,44,Male,Sales,Manager,Doctor,Single,7085,24,2,3,No,4,No
